review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000017,ORD-20260220-592469,CUST-10096,REST-DXB-002,Enjoyed the Tandoori Roti  Gulab Jamun (2 pcs)  Fish Curry  and Paneer Tikka! Paneer Tikka was very good. Portion sizes were generous. Recommend!,4,2026-02-26T10:32:39.393118
REV-000019,ORD-20260225-552689,CUST-10210,REST-AUH-001,Outstanding experience! The Jeera Rice  Chicken Tikka Masala  Chicken Seekh Kebab  and Sweet Lassi exceeded all expectations. Sweet Lassi was the star of the meal. Will definitely order again!,5,2026-03-01T15:28:15.393118
REV-000023,ORD-20260301-938982,CUST-10090,REST-DXB-002,Great food overall. Chicken Seekh Kebab were tasty  especially the Chicken Seekh Kebab. Would order again!,4,2026-03-03T20:16:44.393118
REV-000020,ORD-20260225-498249,CUST-10200,REST-AUH-002,Hands down the best Palak Paneer I've ever had! Paneer Tikka  Palak Paneer  and Chicken Seekh Kebab were all prepared beautifully. Fresh and flavorful!,5,2026-03-03T21:07:36.393118
REV-000022,ORD-20260228-493484,CUST-10093,REST-DXB-001,Great food overall. Malai Kofta and Vegetable Biryani were tasty  especially the Vegetable Biryani. Would order again!,4,2026-03-04T15:01:58.393118
REV-000021,ORD-20260226-267191,CUST-10048,REST-DXB-001,Pleasant meal! Kulfi and Tandoori Roti arrived warm. Tandoori Roti was tasty though not exceptional. Would order again.,4,2026-03-05T18:27:15.393118
REV-000024,ORD-20260304-524293,CUST-10449,REST-SHJ-001,Perfect in every way! Kulfi  Dal Makhani  and Samosa (2 pcs) were all excellent. Dal Makhani stood out with its rich  authentic taste.,5,2026-03-10T11:37:52.393118
REV-000025,ORD-20260308-511461,CUST-10121,REST-DXB-002,Below expectations. Chicken Biryani  Aloo Tikki Chaat  Fish Curry  Sweet Lassi  and Tandoori Roti were underwhelming. Fish Curry was overcooked and dry.,2,2026-03-10T13:11:52.393118
REV-000028,ORD-20260310-135623,CUST-10346,REST-DXB-001,Hands down the best Fish Curry I've ever had! Fish Curry  Aloo Tikki Chaat  Tandoori Roti  Rasmalai (2 pcs)  and Chole Bhature were all prepared beautifully. Fresh and flavorful!,5,2026-03-11T14:00:54.393118
REV-000029,ORD-20260312-303266,CUST-10309,REST-DXB-001,Wow! Just wow! Chole Bhature  Garlic Naan  Vegetable Biryani  and Tandoori Roti were all fantastic. Tandoori Roti was particularly memorable. Can't wait to order again!,5,2026-03-14T12:47:33.393118
REV-000026,ORD-20260308-524335,CUST-10413,REST-SHJ-001,Absolutely amazing Lamb Rogan Josh  Gulab Jamun (2 pcs)  and Paneer Tikka! The Lamb Rogan Josh was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-14T18:56:20.393118
REV-000027,ORD-20260310-179619,CUST-10342,REST-DXB-002,Best Indian food in UAE! Fish Curry  Aloo Tikki Chaat  and Chole Bhature were incredible. Chole Bhature had the perfect balance of spices. Five stars!,5,2026-03-17T13:09:04.393118
REV-000030,ORD-20260315-266923,CUST-10333,REST-DXB-002,Decent food but nothing special. Rasmalai (2 pcs) were okay. Rasmalai (2 pcs) lacked the punch I expected.,3,2026-03-19T22:28:24.393118
REV-000031,ORD-20260317-807584,CUST-10301,REST-DXB-001,Disaster! Chicken Seekh Kebab were all stale. Chicken Seekh Kebab had a weird smell. Completely unacceptable!,1,2026-03-22T17:11:19.393118
REV-000033,ORD-20260321-626784,CUST-10317,REST-DXB-001,Hands down the best Paneer Tikka I've ever had! Paneer Tikka  Chicken 65  Naan  Fresh Lime Soda  and Tandoori Roti were all prepared beautifully. Fresh and flavorful!,5,2026-03-25T10:31:15.393118
REV-000032,ORD-20260319-280638,CUST-10401,REST-DXB-001,Absolutely amazing Sweet Lassi  Butter Naan  Garlic Naan  and Masala Chai! The Masala Chai was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-26T21:48:22.393118
REV-000037,ORD-20260328-676754,CUST-10251,REST-DXB-001,Incredible meal! Chicken Seekh Kebab  Samosa (2 pcs)  and Lamb Rogan Josh arrived hot and fresh. The Chicken Seekh Kebab was absolutely divine. Highly satisfied!,5,2026-03-30T15:25:26.393118
REV-000036,ORD-20260328-946280,CUST-10454,REST-AUH-001,Outstanding experience! The Mango Lassi  Butter Naan  Paneer Butter Masala  Aloo Tikki Chaat  and Garlic Naan exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2026-03-31T15:07:04.393118
REV-000034,ORD-20260324-209665,CUST-10356,REST-AUH-001,Mediocre. Fresh Lime Soda  Chicken 65  Lamb Rogan Josh  and Sweet Lassi were fine but forgettable. Lamb Rogan Josh didn't stand out.,3,2026-03-31T20:01:11.393118
REV-000035,ORD-20260325-559990,CUST-10019,REST-AUH-001,Solid experience. Kulfi were well-prepared. Kulfi had great flavor. Minor issues with packaging.,4,2026-04-01T12:28:16.393118
REV-000038,ORD-20260330-358609,CUST-10117,REST-DXB-001,Not bad  not great. Masala Chai  Fish Curry  Chicken 65  and Chicken Seekh Kebab were edible. Fish Curry needed more seasoning.,3,2026-04-03T13:46:50.393118
REV-000040,ORD-20260401-514656,CUST-10237,REST-AUH-001,Exceptional quality! Ordered Paneer Tikka and everything was delicious. The Paneer Tikka melted in my mouth. Perfect!,5,2026-04-05T17:20:15.393118
REV-000042,ORD-20260402-275713,CUST-10332,REST-AUH-001,Average experience. Gulab Jamun (2 pcs)  Malai Kofta  Kulfi  and Lamb Rogan Josh were fine but Gulab Jamun (2 pcs) was a bit bland. Room for improvement.,3,2026-04-05T20:53:02.393118
REV-000039,ORD-20260331-994386,CUST-10139,REST-DXB-002,Perfect in every way! Kulfi  Aloo Tikki Chaat  and Samosa (2 pcs) were all excellent. Samosa (2 pcs) stood out with its rich  authentic taste.,5,2026-04-05T21:26:50.393118
REV-000041,ORD-20260402-149647,CUST-10428,REST-DXB-002,Absolutely amazing Malai Kofta  Kulfi  Fresh Lime Soda  Vegetable Biryani  and Chicken Biryani! The Malai Kofta was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-04-09T13:49:48.393118
REV-000045,ORD-20260411-777658,CUST-10378,REST-DXB-002,Pleasant meal! Tandoori Roti  Jeera Rice  and Garlic Naan arrived warm. Garlic Naan was tasty though not exceptional. Would order again.,4,2026-04-14T10:22:46.393118
REV-000043,ORD-20260409-310975,CUST-10217,REST-DXB-002,Great food overall. Masala Chai and Chicken Biryani were tasty  especially the Chicken Biryani. Would order again!,4,2026-04-14T19:01:12.393118
REV-000048,ORD-20260413-115392,CUST-10081,REST-AUH-001,Perfect in every way! Butter Chicken were all excellent. Butter Chicken stood out with its rich  authentic taste.,5,2026-04-15T14:10:16.393118
REV-000044,ORD-20260410-879329,CUST-10261,REST-DXB-002,Enjoyed the Gajar Halwa! Gajar Halwa was very good. Portion sizes were generous. Recommend!,4,2026-04-15T16:35:57.393118
REV-000046,ORD-20260411-817749,CUST-10427,REST-DXB-001,Outstanding experience! The Naan exceeded all expectations. Naan was the star of the meal. Will definitely order again!,5,2026-04-16T15:24:54.393118
REV-000047,ORD-20260412-547695,CUST-10202,REST-DXB-001,Average experience. Palak Paneer  Butter Chicken  Tandoori Roti  and Garlic Naan were fine but Butter Chicken was a bit bland. Room for improvement.,3,2026-04-17T10:03:37.393118
REV-000049,ORD-20260422-425231,CUST-10240,REST-DXB-002,Wow! Just wow! Chicken Tikka Masala  Fish Curry  Masala Chai  Aloo Tikki Chaat  and Naan were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2026-04-23T17:20:14.393118
REV-000050,ORD-20260423-209520,CUST-10206,REST-SHJ-001,Pleasant meal! Tandoori Roti  Paneer Butter Masala  Chicken Biryani  Gajar Halwa  and Rasmalai (2 pcs) arrived warm. Gajar Halwa was tasty though not exceptional. Would order again.,4,2026-04-27T17:40:11.393118
REV-000051,ORD-20260427-540099,CUST-10050,REST-AUH-002,Best Indian food in UAE! Samosa (2 pcs) were incredible. Samosa (2 pcs) had the perfect balance of spices. Five stars!,5,2026-04-30T13:28:54.393118
REV-000052,ORD-20260430-819659,CUST-10014,REST-DXB-001,Great food overall. Fish Curry were tasty  especially the Fish Curry. Would order again!,4,2026-05-04T20:59:53.393118
REV-000053,ORD-20260502-860013,CUST-10174,REST-AUH-001,Wow! Just wow! Samosa (2 pcs)  Fresh Lime Soda  Fish Curry  Paneer Butter Masala  and Rasmalai (2 pcs) were all fantastic. Samosa (2 pcs) was particularly memorable. Can't wait to order again!,5,2026-05-05T22:13:34.393118
REV-000054,ORD-20260504-692950,CUST-10175,REST-AUH-001,Pleasant meal! Chicken Biryani arrived warm. Chicken Biryani was tasty though not exceptional. Would order again.,4,2026-05-07T18:16:40.393118
REV-000055,ORD-20260505-963460,CUST-10100,REST-SHJ-001,Wow! Just wow! Chicken 65  Garlic Naan  and Butter Naan were all fantastic. Garlic Naan was particularly memorable. Can't wait to order again!,5,2026-05-08T14:58:14.393118
REV-000056,ORD-20260507-321694,CUST-10169,REST-DXB-001,Hands down the best Aloo Tikki Chaat I've ever had! Samosa (2 pcs)  Aloo Tikki Chaat  and Paneer Tikka were all prepared beautifully. Fresh and flavorful!,5,2026-05-11T10:45:50.393118
REV-000057,ORD-20260513-632893,CUST-10179,REST-DXB-002,Not good. Dal Makhani  Palak Paneer  and Rasmalai (2 pcs) arrived late and cold. Palak Paneer had barely any flavor. Poor quality.,2,2026-05-19T20:45:46.393118
REV-000060,ORD-20260523-968614,CUST-10152,REST-AUH-002,Absolutely amazing Aloo Tikki Chaat  Vegetable Biryani  Mango Lassi  and Tandoori Roti! The Tandoori Roti was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-05-24T14:01:53.393118
REV-000061,ORD-20260523-872875,CUST-10340,REST-DXB-001,Incredible meal! Lamb Rogan Josh arrived hot and fresh. The Lamb Rogan Josh was absolutely divine. Highly satisfied!,5,2026-05-24T18:23:27.393118
REV-000058,ORD-20260518-621036,CUST-10366,REST-AUH-001,Good quality food. Dal Makhani  Aloo Tikki Chaat  Garlic Naan  Paneer Tikka  and Chicken 65 were nicely done. Chicken 65 could have been slightly spicier but still good!,4,2026-05-24T22:18:44.393118
REV-000059,ORD-20260520-152328,CUST-10332,REST-SHJ-001,Really good Gajar Halwa! The Gajar Halwa was delicious. Slight delay in delivery but food quality made up for it.,4,2026-05-27T22:22:11.393118
REV-000062,ORD-20260601-677984,CUST-10458,REST-AUH-001,Best Indian food in UAE! Gajar Halwa and Butter Naan were incredible. Gajar Halwa had the perfect balance of spices. Five stars!,5,2026-06-05T22:51:49.393118
REV-000063,ORD-20260604-335319,CUST-10027,REST-SHJ-001,Absolutely amazing Mango Lassi and Vegetable Biryani! The Mango Lassi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-06-09T14:05:11.393118
REV-000064,ORD-20260611-290163,CUST-10075,REST-AUH-002,Outstanding experience! The Butter Chicken  Paneer Tikka  and Chicken Biryani exceeded all expectations. Butter Chicken was the star of the meal. Will definitely order again!,5,2026-06-13T14:15:38.393118
REV-000065,ORD-20260613-612452,CUST-10087,REST-AUH-001,Perfect in every way! Butter Chicken  Paneer Butter Masala  Chicken Tikka Masala  and Malai Kofta were all excellent. Malai Kofta stood out with its rich  authentic taste.,5,2026-06-16T12:09:50.393118
REV-000066,ORD-20260613-373222,CUST-10098,REST-DXB-001,Perfect in every way! Kulfi and Fish Curry were all excellent. Kulfi stood out with its rich  authentic taste.,5,2026-06-17T22:27:40.393118
REV-000068,ORD-20260619-172607,CUST-10292,REST-DXB-001,Absolutely horrible! Dal Makhani  Paneer Butter Masala  and Naan arrived ice cold after 2 hour delay. Naan was spoiled. Disgusting!,1,2026-06-20T15:28:57.393118
REV-000067,ORD-20260619-623265,CUST-10153,REST-SHJ-001,Poor experience. Chicken Biryani and Naan were disappointing. Chicken Biryani was burnt on the edges. Very unhappy.,2,2026-06-23T12:00:12.393118
REV-000071,ORD-20260622-972662,CUST-10470,REST-DXB-002,Pleasant meal! Jeera Rice arrived warm. Jeera Rice was tasty though not exceptional. Would order again.,4,2026-06-26T14:32:42.393118
REV-000069,ORD-20260621-520201,CUST-10034,REST-SHJ-001,Hands down the best Chicken Biryani I've ever had! Chicken Biryani  Vegetable Biryani  Palak Paneer  Naan  and Dal Makhani were all prepared beautifully. Fresh and flavorful!,5,2026-06-27T21:40:11.393118
REV-000070,ORD-20260622-273111,CUST-10262,REST-AUH-001,Enjoyed the Chole Bhature  Fish Curry  and Palak Paneer! Palak Paneer was very good. Portion sizes were generous. Recommend!,4,2026-06-28T11:41:15.393118
REV-000072,ORD-20260625-228453,CUST-10088,REST-DXB-002,Perfect in every way! Naan were all excellent. Naan stood out with its rich  authentic taste.,5,2026-06-28T17:57:47.393118
REV-000073,ORD-20260627-917140,CUST-10203,REST-AUH-002,Solid experience. Gulab Jamun (2 pcs)  Paneer Tikka  Chicken Biryani  Chicken Tikka Masala  and Mango Lassi were well-prepared. Paneer Tikka had great flavor. Minor issues with packaging.,4,2026-06-30T10:10:41.393118
REV-000074,ORD-20260702-866303,CUST-10046,REST-AUH-001,Solid experience. Chicken Tikka Masala  Chicken Seekh Kebab  Butter Naan  and Paneer Tikka were well-prepared. Chicken Seekh Kebab had great flavor. Minor issues with packaging.,4,2026-07-06T22:00:55.393118
REV-000076,ORD-20260706-466471,CUST-10105,REST-AUH-002,Outstanding experience! The Samosa (2 pcs)  Chicken Biryani  Dal Makhani  Chicken Seekh Kebab  and Paneer Tikka exceeded all expectations. Paneer Tikka was the star of the meal. Will definitely order again!,5,2026-07-09T19:34:36.393118
REV-000075,ORD-20260705-852257,CUST-10030,REST-DXB-001,Best Indian food in UAE! Tandoori Roti  Dal Makhani  Mango Lassi  Rasmalai (2 pcs)  and Palak Paneer were incredible. Tandoori Roti had the perfect balance of spices. Five stars!,5,2026-07-12T21:15:34.393118
REV-000078,ORD-20260712-214590,CUST-10267,REST-AUH-001,Appalling quality! Aloo Tikki Chaat  Mango Lassi  Tandoori Roti  and Samosa (2 pcs) were swimming in oil. Mango Lassi was raw inside. Health hazard!,1,2026-07-13T11:28:45.393118
REV-000077,ORD-20260711-596419,CUST-10134,REST-SHJ-001,Good quality food. Sweet Lassi  Dal Makhani  Gulab Jamun (2 pcs)  and Samosa (2 pcs) were nicely done. Samosa (2 pcs) could have been slightly spicier but still good!,4,2026-07-17T16:24:13.393118
REV-000079,ORD-20260722-139565,CUST-10078,REST-SHJ-001,Wow! Just wow! Aloo Tikki Chaat  Paneer Tikka  Garlic Naan  and Gajar Halwa were all fantastic. Paneer Tikka was particularly memorable. Can't wait to order again!,5,2026-07-24T22:24:39.393118
REV-000080,ORD-20260723-913239,CUST-10041,REST-DXB-001,Decent food but nothing special. Chicken 65  Paneer Tikka  Garlic Naan  and Samosa (2 pcs) were okay. Chicken 65 lacked the punch I expected.,3,2026-07-25T21:43:29.393118
REV-000083,ORD-20260724-283734,CUST-10446,REST-AUH-001,Pleasant meal! Jeera Rice  Dal Makhani  Malai Kofta  Samosa (2 pcs)  and Masala Chai arrived warm. Samosa (2 pcs) was tasty though not exceptional. Would order again.,4,2026-07-27T17:24:09.393118
REV-000081,ORD-20260723-903585,CUST-10045,REST-AUH-002,Not bad  not great. Jeera Rice and Chicken Tikka Masala were edible. Jeera Rice needed more seasoning.,3,2026-07-27T22:48:37.393118
REV-000082,ORD-20260724-440275,CUST-10120,REST-DXB-002,Absolutely amazing Gajar Halwa and Fish Curry! The Fish Curry was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-07-30T11:46:24.393118
